service group,staff group,metric,Naive_rmse,Naive_mae,Naive_mape,SeasonalNaive_rmse,SeasonalNaive_mae,SeasonalNaive_mape,AutoARIMA_rmse,AutoARIMA_mae,AutoARIMA_mape,best_model,best_rmse
CYP & Families Services,Add Prof Scientific and Technic,Hires,0.6666666666666666,0.2222222222222222,7.4074074074074066,0.7453559924999299,0.3333333333333333,18.51851851851852,0.6455510147127813,0.28055555163135437,13.796295866502836,Naive,
CYP & Families Services,Add Prof Scientific and Technic,Leavers,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666512056214,0.16666666512056216,16.666666512056217,Naive,
CYP & Families Services,Add Prof Scientific and Technic,Sickness,,,,,,,,,,,inf
CYP & Families Services,Additional Clinical Services,Hires,1.0,0.4,12.5,1.0,0.4,12.5,0.9222157336602054,0.5785714285714287,34.07738095238097,Naive,
CYP & Families Services,Additional Clinical Services,Leavers,0.4472135954999579,0.2,10.0,0.4472135954999579,0.2,10.0,0.4093735189247949,0.3722609230579884,30.097107690098646,Naive,
CYP & Families Services,Additional Clinical Services,Sickness,,,,,,,,,,,inf
CYP & Families Services,Administrative and Clerical,Hires,0.816496580927726,0.6666666666666666,66.66666666666666,0.5773502691896257,0.3333333333333333,16.666666666666664,0.5108757556255089,0.3729485535425592,22.851829204040826,Naive,
CYP & Families Services,Administrative and Clerical,Leavers,0.30151134457776363,0.09090909090909091,4.545454545454546,0.30151134457776363,0.09090909090909091,4.545454545454546,0.288263393156447,0.18266778729835753,14.231094719877133,Naive,
CYP & Families Services,Administrative and Clerical,Sickness,,,,,,,,,,,inf
CYP & Families Services,Allied Health Professionals,Hires,0.5,0.25,12.5,0.6123724356957945,0.375,25.0,0.44798877021296535,0.31756756526812346,20.945945658515434,Naive,
CYP & Families Services,Allied Health Professionals,Leavers,0.0,0.0,0.0,0.6324555320336759,0.4,40.0,0.25000000000000044,0.25000000000000044,25.000000000000043,Naive,
CYP & Families Services,Allied Health Professionals,Sickness,,,,,,,,,,,inf
CYP & Families Services,Estates and Ancillary,Sickness,0.0,0.0,,0.0,0.0,,0.0,0.0,,Naive,
CYP & Families Services,Medical and Dental,Hires,2.04494943258218,1.0909090909090908,29.004329004329005,4.067610422035836,2.909090909090909,227.70562770562773,1.7330142046991992,1.1802902979373568,66.45931099712612,Naive,
CYP & Families Services,Medical and Dental,Leavers,1.0801234497346435,1.0,81.94444444444443,5.880759588125784,4.416666666666667,407.6388888888889,1.1508291173046634,1.0922286784911535,92.21606292132432,Naive,
CYP & Families Services,Medical and Dental,Sickness,,,,,,,,,,,inf
CYP & Families Services,Nursing and Midwifery Registered,Hires,1.224744871391589,0.5,15.0,1.224744871391589,0.5,15.0,1.1183519620902496,0.7633333333333336,49.23333333333338,Naive,
CYP & Families Services,Nursing and Midwifery Registered,Leavers,0.816496580927726,0.4444444444444444,18.51851851851852,0.8819171036881969,0.7777777777777778,64.81481481481481,0.68998568602079,0.5648148148148147,37.24279835390946,Naive,
CYP & Families Services,Nursing and Midwifery Registered,Sickness,,,,,,,,,,,inf
CYP & Families Services,Students,Sickness,4.905,2.4525,100.0,4.9304183392487095,2.7025,100.0,4.54161080307988,2.875326086886276,91.37969241822069,Naive,
Clinical Support and Cancer Services,Add Prof Scientific and Technic,Hires,0.7385489458759964,0.36363636363636365,15.151515151515149,0.8528028654224418,0.5454545454545454,33.33333333333333,0.6571287406727709,0.5909090909090909,45.45454545454545,Naive,
Clinical Support and Cancer Services,Add Prof Scientific and Technic,Leavers,0.816496580927726,0.6666666666666666,33.33333333333333,0.7453559924999299,0.5555555555555556,33.33333333333333,0.6921146111628379,0.6135906324664775,33.358931884652776,Naive,
Clinical Support and Cancer Services,Add Prof Scientific and Technic,Sickness,42.46863803639889,18.371666666666666,100.0,41.82996792571884,28.395,641.6600986831357,38.82688758228601,32.758759752624016,952.9369477754709,Naive,
Clinical Support and Cancer Services,Additional Clinical Services,Hires,1.3844373104863459,0.75,22.22222222222222,1.3228756555322954,0.9166666666666666,45.13888888888889,1.1858624250904215,0.9239130434782611,51.20772946859905,Naive,
Clinical Support and Cancer Services,Additional Clinical Services,Leavers,0.9574271077563381,0.9166666666666666,86.1111111111111,0.816496580927726,0.5,34.722222222222214,0.632228179326506,0.5589430863071242,45.121950861580196,Naive,
Clinical Support and Cancer Services,Additional Clinical Services,Sickness,,,,,,,,,,,inf
Clinical Support and Cancer Services,Administrative and Clerical,Hires,1.0,0.4,12.5,1.0,0.4,12.5,0.9162362267874902,0.5945891195363868,36.04814052932063,Naive,
Clinical Support and Cancer Services,Administrative and Clerical,Leavers,0.0,0.0,0.0,0.28867513459481287,0.08333333333333333,8.333333333333332,0.21100917431192648,0.21100917431192645,21.100917431192645,Naive,
Clinical Support and Cancer Services,Administrative and Clerical,Sickness,,,,,,,,,,,inf
Clinical Support and Cancer Services,Allied Health Professionals,Hires,1.243163121016122,0.45454545454545453,11.818181818181818,1.243163121016122,0.45454545454545453,11.818181818181818,1.157524601500342,0.7641277476957634,48.525796577432736,Naive,
Clinical Support and Cancer Services,Allied Health Professionals,Leavers,0.6123724356957945,0.375,18.75,1.695582495781317,1.625,143.75,0.4967575212186291,0.49658100214607437,40.026675375563016,Naive,
Clinical Support and Cancer Services,Allied Health Professionals,Sickness,,,,,,,,,,,inf
Clinical Support and Cancer Services,Estates and Ancillary,Sickness,0.0,0.0,,0.0,0.0,,0.0,0.0,,Naive,
Clinical Support and Cancer Services,Healthcare Scientists,Sickness,14.736628119530375,7.510833333333333,100.0,15.213925912356308,10.6825,183.14840575099666,13.708759302668506,11.683592622677615,187.4858379191459,Naive,
Clinical Support and Cancer Services,Medical and Dental,Hires,1.0,0.6363636363636364,25.757575757575758,1.1281521496355325,0.9090909090909091,53.03030303030303,0.8583070016555318,0.66,34.81818181818183,Naive,
Clinical Support and Cancer Services,Medical and Dental,Leavers,1.1281521496355325,0.7272727272727273,27.27272727272727,1.2792042981336627,0.9090909090909091,45.45454545454545,1.0042504015878029,0.746615087040619,35.00967117988393,Naive,
Clinical Support and Cancer Services,Medical and Dental,Sickness,3.013856886670854,1.0833333333333333,100.0,3.013856886670854,1.0833333333333333,100.0,2.823256635598223,1.6650827145929135,80.92856108683063,Naive,
Clinical Support and Cancer Services,Nursing and Midwifery Registered,Hires,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Naive,
Clinical Support and Cancer Services,Nursing and Midwifery Registered,Leavers,0.0,0.0,0.0,0.0,0.0,0.0,0.00014067713997922837,0.00014067713997922837,0.014067713997922837,Naive,
Clinical Support and Cancer Services,Nursing and Midwifery Registered,Sickness,,,,,,,,,,,inf
Clinical Support and Cancer Services,Students,Sickness,2.3333333333333335,0.7777777777777778,100.0,2.7137509916063496,1.5777777777777777,100.0,2.2187135924974455,1.1583924349881793,93.00911854103343,Naive,
Corporate Support Services,Add Prof Scientific and Technic,Hires,15.182226450688976,8.666666666666666,32.06983024691358,18.078532388812242,12.833333333333334,448.7364969135803,12.914524359963,10.058301421326243,331.2518422295925,Naive,
Corporate Support Services,Add Prof Scientific and Technic,Leavers,0.8944271909999159,0.8,73.33333333333333,1.816590212458495,1.1,66.66666666666666,0.7658324710520847,0.7122064273731639,60.970013492375166,Naive,
Corporate Support Services,Add Prof Scientific and Technic,Sickness,,,,,,,,,,,inf
Corporate Support Services,Additional Clinical Services,Hires,3.685557397915997,3.4166666666666665,150.3571428571429,6.177917664283546,5.333333333333333,266.58730158730157,4.0692844090969995,3.789996046436917,174.94797367611355,Naive,
Corporate Support Services,Additional Clinical Services,Leavers,4.571651780264984,3.9,94.22258297258298,8.342661445845684,7.4,142.67694805194807,3.668240791018339,3.0184976428292836,70.999118777055,Naive,
Corporate Support Services,Additional Clinical Services,Sickness,,,,,,,,,,,inf
Corporate Support Services,Administrative and Clerical,Hires,1.5811388300841898,0.5,8.333333333333334,1.5811388300841898,0.5,8.333333333333334,1.504990815596184,0.9979709508909366,63.31762582754094,Naive,
Corporate Support Services,Administrative and Clerical,Leavers,1.8257418583505538,0.6666666666666666,12.698412698412698,1.8257418583505538,0.6666666666666666,12.698412698412698,1.7282017629647428,0.9026325541262991,40.78958977694036,Naive,
Corporate Support Services,Administrative and Clerical,Sickness,,,,,,,,,,,inf
Corporate Support Services,Allied Health Professionals,Hires,1.5075567228888183,0.8181818181818182,23.939393939393938,1.9306145983268455,1.1818181818181819,60.303030303030305,1.2600010740082455,1.0361059964849328,69.55500978724048,Naive,
Corporate Support Services,Allied Health Professionals,Leavers,1.2909944487358056,1.0,61.944444444444436,1.4433756729740645,1.0833333333333333,55.694444444444436,1.3930084715323947,1.261480978186935,90.77102055953704,Naive,
Corporate Support Services,Allied Health Professionals,Sickness,,,,,,,,,,,inf
Corporate Support Services,Estates and Ancillary,Hires,1.707825127659933,1.25,83.73015873015873,1.848422751068236,0.75,16.865079365079364,1.7077670674850685,1.0150003425319498,52.18549528788697,Naive,
Corporate Support Services,Estates and Ancillary,Leavers,1.2909944487358056,1.0,38.888888888888886,0.816496580927726,0.6666666666666666,44.44444444444444,0.827417155728334,0.7113289586500727,43.70007291138767,Naive,
Corporate Support Services,Estates and Ancillary,Sickness,,,,,,,,,,,inf
Corporate Support Services,Healthcare Scientists,Sickness,0.6324555320336759,0.2,100.0,0.6324555320336759,0.2,100.0,0.6047143724043511,0.42028981840351215,86.2318863497805,Naive,
Corporate Support Services,Medical and Dental,Hires,12.182637919049661,10.75,745.0757575757577,7.75134396948899,5.916666666666667,133.08606902356902,5.680654933675359,5.183954501883975,279.39185107590754,Naive,
Corporate Support Services,Medical and Dental,Leavers,2.9011491975882016,1.9166666666666667,64.9537037037037,3.452052529534663,2.25,57.47685185185184,2.693120393758587,2.0806878306878307,105.11610817166373,Naive,
Corporate Support Services,Medical and Dental,Sickness,,,,,,,,,,,inf
Corporate Support Services,Nursing and Midwifery Registered,Hires,3.6742346141747673,3.1,167.952380952381,3.714835124201342,2.8,121.94047619047619,3.8042255256046134,3.1,130.53991087384475,Naive,
Corporate Support Services,Nursing and Midwifery Registered,Leavers,13.619838471876236,10.3,200.50113679424024,11.979148550710939,9.5,262.40204622963245,12.155981873071914,9.608901009828537,312.0340485955901,Naive,
Corporate Support Services,Nursing and Midwifery Registered,Sickness,,,,,,,,,,,inf
Corporate Support Services,Students,Sickness,0.0,0.0,,0.0,0.0,,0.0,0.0,,Naive,
Medical Services,Add Prof Scientific and Technic,Sickness,6.905109219507924,1.9933333333333334,100.0,9.206113910512585,8.993333333333334,64.88294314381271,6.684313784533482,2.832482354825965,95.79022230020419,Naive,
Medical Services,Additional Clinical Services,Hires,1.5545631755148024,1.4166666666666667,120.83333333333333,0.5773502691896257,0.3333333333333333,23.611111111111107,0.6218120363884534,0.5563192844589118,42.26722721961365,Naive,
Medical Services,Additional Clinical Services,Leavers,0.5222329678670935,0.2727272727272727,13.636363636363635,0.5222329678670935,0.2727272727272727,13.636363636363635,0.4521128516350503,0.36131281253929476,25.1524838119265,Naive,
Medical Services,Additional Clinical Services,Sickness,,,,,,,,,,,inf
Medical Services,Administrative and Clerical,Hires,0.674199862463242,0.2727272727272727,10.606060606060606,0.674199862463242,0.2727272727272727,10.606060606060606,0.6259245667337342,0.37769447008261187,22.852233630850165,Naive,
Medical Services,Administrative and Clerical,Leavers,1.1547005383792515,0.3333333333333333,6.666666666666667,1.3228756555322954,0.75,48.333333333333336,1.106197753291768,0.6428571428571429,40.095238095238095,Naive,
Medical Services,Administrative and Clerical,Sickness,,,,,,,,,,,inf
Medical Services,Allied Health Professionals,Sickness,5.275730597114805,2.1666666666666665,100.0,5.582711408148075,5.0,51.307189542483655,4.8126672331595275,3.3256257367542577,56.82309346732504,Naive,
Medical Services,Estates and Ancillary,Sickness,12.632158508007592,12.142857142857142,194.44444444444443,6.897204402613321,3.0,100.0,6.380586816086443,3.6587010235480006,70.11449059828514,Naive,
Medical Services,Healthcare Scientists,Sickness,8.105889217106288,4.9879999999999995,53.48541897379106,9.307708633170678,4.9879999999999995,100.0,8.046035985416715,4.972896076700292,50.586229524841464,Naive,
Medical Services,Medical and Dental,Hires,0.5773502691896257,0.3333333333333333,16.666666666666664,0.5773502691896257,0.3333333333333333,22.22222222222222,0.7363136774733675,0.6316379082105136,61.552320758082516,Naive,
Medical Services,Medical and Dental,Leavers,0.8366600265340756,0.5,21.666666666666664,2.16794833886788,1.5,111.66666666666667,0.8783293555125364,0.7829282070826442,65.73811934678105,Naive,
Medical Services,Medical and Dental,Sickness,,,,,,,,,,,inf
Medical Services,Nursing and Midwifery Registered,Hires,0.0,0.0,0.0,0.0,0.0,0.0,0.08095408635787885,0.08048549974079444,8.048549974079444,Naive,
Medical Services,Nursing and Midwifery Registered,Leavers,0.8944271909999159,0.8,80.0,0.4472135954999579,0.2,10.0,0.4014935230241391,0.340759037812976,26.421887744847204,Naive,
Medical Services,Nursing and Midwifery Registered,Sickness,,,,,,,,,,,inf
Medical Services,Students,Hires,0.0,0.0,0.0,0.5,0.25,25.0,0.20689655172413768,0.20689655172413768,20.68965517241377,Naive,
Medical Services,Students,Sickness,4.242640687119285,2.5,100.0,4.242640687119285,2.5,75.0,3.4378221084328886,2.4404769018907246,55.51749407011428,Naive,
Mental Health and Learning Disabilities,Add Prof Scientific and Technic,Hires,2.8136571693556887,2.75,261.11111111111114,1.3844373104863459,0.9166666666666666,72.22222222222221,0.7244273686881211,0.6889506958139161,60.228574342733324,Naive,
Mental Health and Learning Disabilities,Add Prof Scientific and Technic,Leavers,1.7837651700316894,1.7272727272727273,159.0909090909091,1.381698559415515,0.8181818181818182,68.18181818181817,0.44644424527082577,0.41081702844498763,31.588031879666573,Naive,
Mental Health and Learning Disabilities,Add Prof Scientific and Technic,Sickness,,,,,,,,,,,inf
Mental Health and Learning Disabilities,Additional Clinical Services,Hires,0.31622776601683794,0.1,5.0,1.449137674618944,1.1,105.0,0.30366993957374044,0.21765470234194223,17.50081212383136,Naive,
Mental Health and Learning Disabilities,Additional Clinical Services,Leavers,0.30151134457776363,0.09090909090909091,4.545454545454546,0.30151134457776363,0.09090909090909091,4.545454545454546,0.2904517520206019,0.19919785531320128,15.975935232555086,Naive,
Mental Health and Learning Disabilities,Additional Clinical Services,Sickness,,,,,,,,,,,inf
Mental Health and Learning Disabilities,Administrative and Clerical,Hires,2.0,2.0,200.0,0.408248290463863,0.16666666666666666,16.666666666666664,0.10603355994627352,0.08169881250644141,8.169881250644142,Naive,
Mental Health and Learning Disabilities,Administrative and Clerical,Leavers,0.28867513459481287,0.08333333333333333,4.166666666666666,0.5,0.25,20.833333333333336,0.29428749399012155,0.19757458635718939,15.957865814871974,Naive,
Mental Health and Learning Disabilities,Administrative and Clerical,Sickness,,,,,,,,,,,inf
Mental Health and Learning Disabilities,Allied Health Professionals,Hires,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030054,0.030303030303030054,3.0303030303030054,Naive,
Mental Health and Learning Disabilities,Allied Health Professionals,Leavers,0.6324555320336759,0.4,20.0,0.6324555320336759,0.4,20.0,0.6088596383170737,0.4076923076923077,21.538461538461533,Naive,
Mental Health and Learning Disabilities,Allied Health Professionals,Sickness,,,,,,,,,,,inf
Mental Health and Learning Disabilities,Estates and Ancillary,Hires,1.0,1.0,100.0,0.0,0.0,0.0,0.17391303983245998,0.17391303983245998,17.391303983245997,Naive,
Mental Health and Learning Disabilities,Estates and Ancillary,Leavers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Naive,
Mental Health and Learning Disabilities,Estates and Ancillary,Sickness,39.673567186898296,22.384444444444444,100.0,37.657871834599355,26.475555555555555,72.81430219146482,35.15536904697613,33.492209150865705,70.76730067318735,Naive,
Mental Health and Learning Disabilities,Medical and Dental,Hires,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,11.11111111111111,0.5555555555555556,0.5555555555555556,55.55555555555556,Naive,
Mental Health and Learning Disabilities,Medical and Dental,Leavers,0.3535533905932738,0.125,6.25,0.5,0.25,18.75,0.3745395805716554,0.34224396852312056,29.657675576042575,Naive,
Mental Health and Learning Disabilities,Medical and Dental,Sickness,,,,,,,,,,,inf
Mental Health and Learning Disabilities,Nursing and Midwifery Registered,Hires,0.0,0.0,0.0,0.6030226891555273,0.36363636363636365,36.36363636363637,0.05882352941176494,0.05882352941176494,5.882352941176494,Naive,
Mental Health and Learning Disabilities,Nursing and Midwifery Registered,Leavers,0.31622776601683794,0.1,5.0,0.31622776601683794,0.1,5.0,0.30058220106013744,0.16504065040650442,11.910569105691096,Naive,
Mental Health and Learning Disabilities,Nursing and Midwifery Registered,Sickness,,,,,,,,,,,inf
Neighbourhood Services,Add Prof Scientific and Technic,Sickness,,,,,,,,,,,inf
Neighbourhood Services,Additional Clinical Services,Hires,0.30151134457776363,0.09090909090909091,4.545454545454546,0.7385489458759964,0.5454545454545454,50.0,0.3260799303235218,0.29120287350163165,25.68757604133384,Naive,
Neighbourhood Services,Additional Clinical Services,Leavers,0.5773502691896257,0.3333333333333333,16.666666666666664,0.5773502691896257,0.3333333333333333,16.666666666666664,0.47249639655413067,0.4337433409997001,31.72816781662168,Naive,
Neighbourhood Services,Additional Clinical Services,Sickness,,,,,,,,,,,inf
Neighbourhood Services,Administrative and Clerical,Hires,0.0,0.0,0.0,0.0,0.0,0.0,0.14952405964083293,0.14952405964083293,14.952405964083294,Naive,
Neighbourhood Services,Administrative and Clerical,Leavers,0.28867513459481287,0.08333333333333333,4.166666666666666,1.9578900207451218,1.3333333333333333,129.16666666666669,0.36930900877842343,0.3569023569023571,32.89141414141417,Naive,
Neighbourhood Services,Administrative and Clerical,Sickness,,,,,,,,,,,inf
Neighbourhood Services,Allied Health Professionals,Hires,0.4264014327112209,0.18181818181818182,9.090909090909092,0.7385489458759964,0.36363636363636365,27.27272727272727,0.44138444041898944,0.32622583272619815,24.853084751405852,Naive,
