service group,department,organisation,staff group,metric,month
Corporate Support Services,Trustwide Schemes,Bank 00014,Administrative and Clerical,Leavers,48
Corporate Support Services,Trustwide Schemes,Bank Nurses 75450,Nursing and Midwifery Registered,Leavers,48
Corporate Support Services,Trustwide Schemes,Bank (Acute) 02002,Nursing and Midwifery Registered,Leavers,48
Corporate Support Services,Trustwide Schemes,Bank 00014,Additional Clinical Services,Hires,48
Corporate Support Services,Trustwide Schemes,Bank 00014,Additional Clinical Services,Leavers,48
Corporate Support Services,Trustwide Schemes,Bank (Acute) 02002,Additional Clinical Services,Hires,48
Corporate Support Services,Trustwide Schemes,Bank Nurses 75450,Additional Clinical Services,Leavers,48
Corporate Support Services,Trustwide Schemes,Bank 00014,Nursing and Midwifery Registered,Leavers,48
Corporate Support Services,Trustwide Schemes,Bank (Acute) 02002,Additional Clinical Services,Leavers,48
Corporate Support Services,Trustwide Schemes,Bank (Acute) 02002,Administrative and Clerical,Leavers,47
Corporate Support Services,Central DEPT,Medical Staff Bank 00505,Medical and Dental,Hires,46
Corporate Support Services,Trustwide Schemes,Bank (Acute) 02002,Nursing and Midwifery Registered,Hires,45
Corporate Support Services,Trustwide Schemes,Bank 00014,Administrative and Clerical,Hires,45
Corporate Support Services,Trustwide Schemes,Bank 00014,Estates and Ancillary,Hires,43
Corporate Support Services,Trustwide Schemes,Bank 00014,Estates and Ancillary,Leavers,43
Corporate Support Services,Trustwide Schemes,Bank 00014,Nursing and Midwifery Registered,Hires,43
Corporate Support Services,Trustwide Schemes,Bank Nurses 75450,Additional Clinical Services,Hires,41
Corporate Support Services,Estates and Facilities - SFT,Cleanliness 04210,Estates and Ancillary,Leavers,40
Corporate Support Services,Estates and Facilities - SFT,Cleanliness 04210,Estates and Ancillary,Hires,40
Neighbourhood Services,Mass Vaccination Programme,Mass Vaccination - West 00034,Additional Clinical Services,Leavers,39
Corporate Support Services,Central DEPT,Medical Staff Bank 00505,Medical and Dental,Leavers,39
Corporate Support Services,Trustwide Schemes,Bank Nurses 75450,Nursing and Midwifery Registered,Hires,39
SSL Corporate,SSL Facilities Soft FM Level 5,SSL Housekeeping & Domestic S75388,Estates and Ancillary,Hires,39
