service group,staff group,metric,n_months,boxcox_lambda,classic_trend_mean,classic_seasonal_range,classic_resid_var,stl_trend_mean,stl_seasonal_range,stl_resid_var
CYP & Families Services,Add Prof Scientific and Technic,Hires,49,-15.415410868150865,,,,1.0411847148652046e-15,1.8328197111791418e-14,0.0003154679327747351
CYP & Families Services,Add Prof Scientific and Technic,Leavers,37,-10.62615925281802,,,,0.01730741437388167,0.1076542952151724,0.000536615054470753
CYP & Families Services,Add Prof Scientific and Technic,Sickness,434,-0.3351453581936721,,,,-7.967762935942987,18.114045837762664,30.030542240455112
CYP & Families Services,Additional Clinical Services,Hires,180,-5.299527975784597,,,,0.006627446156694685,0.1819799045443115,0.005855442283788743
CYP & Families Services,Additional Clinical Services,Leavers,150,-6.286922115841649,,,,6.891000202427863e-06,0.0003109567560583574,0.0037655622296571055
CYP & Families Services,Additional Clinical Services,Sickness,1178,-0.028864128641705705,,,,-1.3144436199673633,9.281716166846927,7.269956734349198
CYP & Families Services,Administrative and Clerical,Hires,114,-8.73815636786634,,,,0.0014724256813770026,0.11082334775302671,0.0015607172729345453
CYP & Families Services,Administrative and Clerical,Leavers,119,-13.63242260245499,,,,7.019234401209715e-08,1.842316582198885e-06,0.00048782298049118006
CYP & Families Services,Administrative and Clerical,Sickness,1100,-0.15386040423074707,,,,-3.1912399473524005,10.16020223413066,9.566675833958254
CYP & Families Services,Allied Health Professionals,Hires,46,-8.12781698424341,,,,0.030648602449975804,0.12259441925029256,0.0019193169908945235
CYP & Families Services,Allied Health Professionals,Leavers,40,-7.407541510897159,,,,0.01475605467587337,0.14290074001896225,0.0016357631639671501
CYP & Families Services,Allied Health Professionals,Sickness,307,-0.05331645083292874,,,,-1.7801804603679023,11.930767932064416,6.73533785216238
CYP & Families Services,Estates and Ancillary,Sickness,24,,,,,0.0,0.0,0.0
CYP & Families Services,Medical and Dental,Hires,131,-1.677416431482906,,,,0.14863879325695883,0.9560478632682954,0.046464481855695954
CYP & Families Services,Medical and Dental,Leavers,120,-1.5434426907849133,,,,0.17630639904091858,0.7661946700404143,0.06124783631398858
CYP & Families Services,Medical and Dental,Sickness,521,-0.3633003292475986,,,,-9.170755749871837,18.5529194860618,32.45177433662567
