unique_id,ds,leavers_count,hires_count,sickness_pct
A&EAdminTeam76200_MedicalServices_AdministrativeandClerical_EmergencyCareDEPT,01/07/2021,0,2,
A&EAdminTeam76200_MedicalServices_AdministrativeandClerical_EmergencyCareDEPT,01/08/2021,0,1,
A&EAdminTeam76200_MedicalServices_AdministrativeandClerical_EmergencyCareDEPT,01/09/2021,0,3,
A&EAdminTeam76200_MedicalServices_AdministrativeandClerical_EmergencyCareDEPT,01/05/2022,0,1,
A&EAdminTeam76200_MedicalServices_AdministrativeandClerical_EmergencyCareDEPT,01/11/2022,0,2,
A&EAdminTeam76200_MedicalServices_AdministrativeandClerical_EmergencyCareDEPT,01/06/2023,0,2,
A&EAdminTeam76200_MedicalServices_AdministrativeandClerical_EmergencyCareDEPT,01/09/2023,0,2,
A&EAdminTeam76200_MedicalServices_AdministrativeandClerical_EmergencyCareDEPT,01/10/2023,0,1,
A&EAdminTeam76200_MedicalServices_AdministrativeandClerical_EmergencyCareDEPT,01/11/2023,0,2,
A&EAdminTeam76200_MedicalServices_AdministrativeandClerical_EmergencyCareDEPT,01/04/2024,2,0,
A&EAdminTeam76200_MedicalServices_AdministrativeandClerical_EmergencyCareDEPT,01/06/2024,1,1,
A&EAdminTeam76200_MedicalServices_AdministrativeandClerical_EmergencyCareDEPT,01/07/2024,2,1,
A&EAdminTeam76200_MedicalServices_AdministrativeandClerical_EmergencyCareDEPT,01/09/2024,1,0,
A&EAdminTeam76200_MedicalServices_AdministrativeandClerical_EmergencyCareDEPT,01/11/2024,1,0,
A&EAdminTeam76200_MedicalServices_AdministrativeandClerical_EmergencyCareDEPT,01/01/2025,1,1,
A&EAdminTeam76200_MedicalServices_AdministrativeandClerical_EmergencyCareDEPT,01/02/2025,5,1,
A&EMedicalStaff76202_MedicalServices_AddProfScientificandTechnic_EmergencyCareDEPT,01/09/2021,0,1,
A&EMedicalStaff76202_MedicalServices_AddProfScientificandTechnic_EmergencyCareDEPT,01/11/2021,0,1,
A&EMedicalStaff76202_MedicalServices_AlliedHealthProfessionals_EmergencyCareDEPT,01/05/2023,0,1,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/06/2021,0,1,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/07/2021,0,3,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/08/2021,0,4,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/09/2021,0,1,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/10/2021,0,3,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/11/2021,0,2,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/02/2022,0,4,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/03/2022,0,2,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/05/2022,0,1,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/07/2022,0,2,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/08/2022,0,5,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/09/2022,0,9,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/10/2022,0,2,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/11/2022,0,1,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/12/2022,0,1,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/01/2023,0,2,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/05/2023,0,2,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/06/2023,0,1,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/07/2023,0,3,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/08/2023,0,12,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/09/2023,0,2,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/10/2023,0,1,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/11/2023,0,2,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/02/2024,0,1,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/03/2024,0,1,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/04/2024,1,2,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/05/2024,1,0,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/07/2024,3,3,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/08/2024,0,3,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/09/2024,1,3,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/11/2024,0,2,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/12/2024,1,0,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/01/2025,1,1,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/02/2025,0,1,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/03/2025,1,2,
A&EMedicalStaff76202_MedicalServices_MedicalandDental_EmergencyCareDEPT,01/04/2025,1,0,
AAAScreening10014_SurgicalServices_AdditionalClinicalServices_Vascular,01/02/2023,0,1,
AAAScreening10014_SurgicalServices_AdditionalClinicalServices_Vascular,01/03/2023,0,1,
AAAScreening10014_SurgicalServices_AdditionalClinicalServices_Vascular,01/11/2023,0,2,
AAAScreening10014_SurgicalServices_AdditionalClinicalServices_Vascular,01/04/2024,0,1,
AAndEDepartment20002_MedicalServices_AdditionalClinicalServices_EmergencyCareDEPT,01/05/2021,0,2,
AAndEDepartment20002_MedicalServices_AdditionalClinicalServices_EmergencyCareDEPT,01/08/2021,0,3,
AAndEDepartment20002_MedicalServices_AdditionalClinicalServices_EmergencyCareDEPT,01/09/2021,0,1,
AAndEDepartment20002_MedicalServices_AdditionalClinicalServices_EmergencyCareDEPT,01/02/2022,0,1,
AAndEDepartment20002_MedicalServices_AdditionalClinicalServices_EmergencyCareDEPT,01/03/2022,0,3,
AAndEDepartment20002_MedicalServices_AdditionalClinicalServices_EmergencyCareDEPT,01/05/2022,0,1,
