service group,staff group,metric,n_months,boxcox_lambda,unique_id,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,seasonal_strength,peak,trough,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,seas_acf1,total_sum,mean,variance,median,p2point5,p5,p25,p75,p95,p97point5,max,min
CYP & Families Services,Add Prof Scientific and Technic,Hires,49,-15.415410868150865,CYP & Families Services|Add Prof Scientific and Technic|Hires,1,12,0.10292540184880661,8.938056628117179e-11,0.00912703122771625,-0.008009618506957444,-0.08237098924142339,0.19348052422761972,0.3432911992383191,1,1,-0.0684803449746549,0.12080206168322243,-0.42991018307424345,0.4722431554153157,-0.6323093598354393,0.9689385755536856,-0.08843499349860695,0.2594761400311667,0.0052954314292074835,0.00032204018137425177,0.0,0.0,0.0,0.0,0.0,0.06486866462995826,0.06486866462995826,0.06487014614129194,0.0
CYP & Families Services,Add Prof Scientific and Technic,Leavers,37,-10.62615925281802,CYP & Families Services|Add Prof Scientific and Technic|Leavers,1,12,0.20606467627540692,4.714415542234931e-10,-0.03225315732922969,0.03801678648781584,-0.5412417331227005,0.671049347068509,0.6856987553791192,3,3,-0.12922297297297297,0.3358059315650109,-0.44590643274853814,0.4928204404774121,-0.6407649558679307,0.7191841158961478,-0.08192567567567567,0.47023918162473444,0.012709167070938769,0.0010624619240124922,0.0,0.0,0.0,0.0,0.0,0.09404783632494688,0.09404783632494688,0.09404783632494688,0.0
CYP & Families Services,Add Prof Scientific and Technic,Sickness,434,-0.3351453581936721,CYP & Families Services|Add Prof Scientific and Technic|Sickness,1,12,0.09275055998737947,0.0032992969299036495,1.24944433095688,-7.39671553720983,-0.03406497717027146,0.1581286732111845,0.1764602753207588,12,10,0.045450911870464454,0.044703427737036214,-0.46301018169400965,0.2569569825074439,-0.6361331182830204,0.4533374836828327,0.002383431598743434,-2983.780941331108,-6.87507129338965,32.851928706920994,-10.98175280206349,-10.98175280206349,-10.98175280206349,-10.98175280206349,0.6224752037244453,1.9026741451574303,1.9648909445067453,2.1379489941477083,-10.98175280206349
CYP & Families Services,Additional Clinical Services,Hires,180,-5.299527975784597,CYP & Families Services|Additional Clinical Services|Hires,1,12,0.1209320340428588,1.2937471717915425e-09,-0.06800350449245524,-0.12979450024925132,-0.203707674243598,0.11627675774318467,0.10738052293381228,6,10,-0.0824689089086769,0.04947478730303864,-0.5071243784633368,0.32651376589153036,-0.6452192284021526,0.5030171126701202,-0.11875556038541017,6.845362226565987,0.03802979014758882,0.0056216330919281144,0.0,0.0,0.0,0.0,0.0,0.18411645442929858,0.1885743960321056,0.1886587642660319,0.0
CYP & Families Services,Additional Clinical Services,Leavers,150,-6.286922115841649,CYP & Families Services|Additional Clinical Services|Leavers,1,12,0.154388730455139,7.520418420409742e-10,-0.02818713439972903,0.014258478740722268,-0.25410416890761583,0.10104275140337608,0.19456628563820222,9,1,-0.09137137004805265,0.0321260505266794,-0.551252229795412,0.3216070722977183,-0.6888383225060228,0.5354517543754974,-0.11952166563941981,4.410062641224874,0.02940041760816583,0.0037916533259278345,0.0,0.0,0.0,0.0,0.0,0.15702325692055827,0.15890114683042939,0.15903425587050182,0.0
CYP & Families Services,Additional Clinical Services,Sickness,1178,-0.028864128641705705,CYP & Families Services|Additional Clinical Services|Sickness,1,12,0.11442371970783283,4.666258847914703e-05,-1.0783963124251368,-4.909032863516831,-0.14289154299327347,0.07427281393880249,0.17689854332114707,7,2,-0.010684769481653653,0.0071683145046755915,-0.5227091539274338,0.27733916430226146,-0.6866956635749506,0.5174277683245436,-0.004373143695804881,-1505.2798654838612,-1.2778267109370638,12.20169295239985,-0.2113631645805174,-4.925263776326779,-4.925263776326779,-4.925263776326779,2.019442644159758,3.497554828984247,3.922134370683119,4.530030234994529,-4.925263776326779
CYP & Families Services,Administrative and Clerical,Hires,114,-8.73815636786634,CYP & Families Services|Administrative and Clerical|Hires,1,12,0.14777962134130818,2.758168355122045e-10,0.05836201878085512,0.015873052163345114,-0.3269206529720038,0.15573459877916657,0.3303159512023617,6,3,-0.028298110686320307,0.02035829035679818,-0.5176959229737745,0.27867207174554937,-0.6817827427004315,0.5167025552919817,0.055129285268711116,1.941462113731101,0.017030369418693868,0.0016695431224278846,0.0,0.0,0.0,0.0,0.0,0.11417261739082536,0.11417261739082536,0.11443998868843135,0.0
CYP & Families Services,Administrative and Clerical,Leavers,119,-13.63242260245499,CYP & Families Services|Administrative and Clerical|Leavers,1,12,0.05732216811666091,5.200072206418634e-11,-0.017033899127127675,0.00893260230258143,-0.08804375953249734,0.1563986178832016,0.18875619888126383,4,10,-0.020414049630215918,0.07839102380939247,-0.45454610282354246,0.3512406711692273,-0.6406253830156919,0.6269545994020398,-0.002743613258831477,0.8801908379804526,0.007396561663701283,0.0004919571200010508,0.0,0.0,0.0,0.0,0.0,0.07334875704388448,0.07334875704388448,0.07335451049772335,0.0
CYP & Families Services,Administrative and Clerical,Sickness,1100,-0.15386040423074707,CYP & Families Services|Administrative and Clerical|Sickness,1,12,0.11507860765465516,0.00010115906978826817,8.614701328081336,-5.249232003109291,-0.13414594803961402,0.08452169743072027,0.18363330861120364,11,5,-0.0064308393596226796,0.010547604925926223,-0.5231575023396783,0.27974522437688415,-0.6824430346142819,0.5015725451687935,0.03130431718389382,-3433.528668564586,-3.1213896986950784,16.73922922298526,-6.701210167152732,-6.701210167152732,-6.701210167152732,-6.701210167152732,1.2896005697334723,2.6756310429035244,2.8490956399336653,3.1421729827915903,-6.701210167152732
CYP & Families Services,Allied Health Professionals,Hires,46,-8.12781698424341,CYP & Families Services|Allied Health Professionals|Hires,1,12,0.307332422187676,1.2075851884649172e-09,0.019071454111257304,0.09238576648581148,-0.2556588468437378,0.39155987435996864,0.5669036068945945,2,7,-0.03747139588100686,0.13314881931098768,-0.6181887366818875,0.7095544137134572,-0.7857142857142857,1.1439909297052155,-0.10755148741418766,0.980755292412822,0.021320767226365694,0.002207214725642445,0.0,0.0,0.0,0.0,0.0,0.12259441155160275,0.12259441155160275,0.12259441155160275,0.0
