unique_id,ds,Naive,Naive/BottomUp,Naive/MinTrace_method-ols,Naive/MinTrace_method-mint_shrink
NHS,2024-04-01,19571.3,19611.300000000007,19571.49495668268,17684.247111580244
NHS,2024-05-01,19571.3,19611.300000000007,19571.49495668268,17684.247111580244
NHS,2024-06-01,19571.3,19611.300000000007,19571.49495668268,17684.247111580244
NHS,2024-07-01,19571.3,19611.300000000007,19571.49495668268,17684.247111580244
NHS,2024-08-01,19571.3,19611.300000000007,19571.49495668268,17684.247111580244
NHS,2024-09-01,19571.3,19611.300000000007,19571.49495668268,17684.247111580244
NHS,2024-10-01,19571.3,19611.300000000007,19571.49495668268,17684.247111580244
NHS,2024-11-01,19571.3,19611.300000000007,19571.49495668268,17684.247111580244
NHS,2024-12-01,19571.3,19611.300000000007,19571.49495668268,17684.247111580244
NHS,2025-01-01,19571.3,19611.300000000007,19571.49495668268,17684.247111580244
NHS,2025-02-01,19571.3,19611.300000000007,19571.49495668268,17684.247111580244
NHS,2025-03-01,19571.3,19611.300000000007,19571.49495668268,17684.247111580244
NHS,2025-04-01,19571.3,19611.300000000003,19571.494956682658,17684.24711158025
NHS/CYP & Families Services,2024-04-01,1724.42,1728.42,1724.4088828069769,1501.116967739573
NHS/CYP & Families Services,2024-05-01,1724.42,1728.42,1724.4088828069769,1501.116967739573
NHS/CYP & Families Services,2024-06-01,1724.42,1728.42,1724.4088828069769,1501.116967739573
NHS/CYP & Families Services,2024-07-01,1724.42,1728.42,1724.4088828069769,1501.116967739573
NHS/CYP & Families Services,2024-08-01,1724.42,1728.42,1724.4088828069769,1501.116967739573
NHS/CYP & Families Services,2024-09-01,1724.42,1728.42,1724.4088828069769,1501.116967739573
NHS/CYP & Families Services,2024-10-01,1724.42,1728.42,1724.4088828069769,1501.116967739573
NHS/CYP & Families Services,2024-11-01,1724.42,1728.42,1724.4088828069769,1501.116967739573
NHS/CYP & Families Services,2024-12-01,1724.42,1728.42,1724.4088828069769,1501.116967739573
NHS/CYP & Families Services,2025-01-01,1724.42,1728.42,1724.4088828069769,1501.116967739573
NHS/CYP & Families Services,2025-02-01,1724.42,1728.42,1724.4088828069769,1501.116967739573
NHS/CYP & Families Services,2025-03-01,1724.42,1728.42,1724.4088828069769,1501.116967739573
NHS/CYP & Families Services,2025-04-01,1724.42,1728.42,1724.4088828069766,1501.1169677395733
NHS/Clinical Support and Cancer Services,2024-04-01,1795.01,1802.0099999999998,1795.0928942720045,230.1686706745679
NHS/Clinical Support and Cancer Services,2024-05-01,1795.01,1802.0099999999998,1795.0928942720045,230.1686706745679
NHS/Clinical Support and Cancer Services,2024-06-01,1795.01,1802.0099999999998,1795.0928942720045,230.1686706745679
NHS/Clinical Support and Cancer Services,2024-07-01,1795.01,1802.0099999999998,1795.0928942720045,230.1686706745679
NHS/Clinical Support and Cancer Services,2024-08-01,1795.01,1802.0099999999998,1795.0928942720045,230.1686706745679
NHS/Clinical Support and Cancer Services,2024-09-01,1795.01,1802.0099999999998,1795.0928942720045,230.1686706745679
NHS/Clinical Support and Cancer Services,2024-10-01,1795.01,1802.0099999999998,1795.0928942720045,230.1686706745679
NHS/Clinical Support and Cancer Services,2024-11-01,1795.01,1802.0099999999998,1795.0928942720045,230.1686706745679
NHS/Clinical Support and Cancer Services,2024-12-01,1795.01,1802.0099999999998,1795.0928942720045,230.1686706745679
NHS/Clinical Support and Cancer Services,2025-01-01,1795.01,1802.0099999999998,1795.0928942720045,230.1686706745679
NHS/Clinical Support and Cancer Services,2025-02-01,1795.01,1802.0099999999998,1795.0928942720045,230.1686706745679
