ds,observed,Naive,Naive/BottomUp,Naive/MinTrace_method-ols,Naive/MinTrace_method-mint_shrink
01/05/2021,1,,,,
01/06/2021,2,,,,
01/07/2021,6,,,,
01/08/2021,8,,,,
01/09/2021,4,,,,
01/10/2021,2,,,,
01/11/2021,1,,,,
01/12/2021,2,,,,
01/01/2022,4,,,,
01/02/2022,6,,,,
01/03/2022,3,,,,
01/04/2022,5,,,,
01/05/2022,4,,,,
01/06/2022,2,,,,
01/07/2022,4,,,,
01/08/2022,7,,,,
01/09/2022,2,,,,
01/10/2022,2,,,,
01/11/2022,1,,,,
01/12/2022,3,,,,
01/01/2023,4,,,,
01/02/2023,2,,,,
01/03/2023,3,,,,
01/04/2023,3,,,,
01/05/2023,5,,,,
01/06/2023,4,,,,
01/07/2023,3,,,,
01/08/2023,2,,,,
01/09/2023,6,,,,
01/10/2023,1,,,,
01/11/2023,4,,,,
01/12/2023,1,,,,
01/01/2024,4,,,,
01/02/2024,2,,,,
01/03/2024,2,,,,
01/04/2024,3,,,,
01/05/2024,2,,,,
01/06/2024,5,,,,
01/07/2024,2,,,,
01/08/2024,6,,,,
01/09/2024,2,,,,
01/10/2024,3,,,,
01/11/2024,3,,,,
01/12/2024,3,,,,
01/01/2025,3,,,,
01/02/2025,7,,,,
01/03/2025,5,,,,
01/04/2025,1,,,,
01/05/2025,,1,1,-96.65393398,5.368081340804358
01/06/2025,,1,1,-96.65393398,5.368081340804358
01/07/2025,,1,1,-96.65393398,5.368081340804358
01/08/2025,,1,1,-96.65393398,5.368081340804358
01/09/2025,,1,1,-96.65393398,5.368081340804358
01/10/2025,,1,1,-96.65393398,5.368081340804358
01/11/2025,,1,1,-96.65393398,5.368081340804358
01/12/2025,,1,1,-96.65393398,5.368081340804358
01/01/2026,,1,1,-96.65393398,5.368081340804358
01/02/2026,,1,1,-96.65393398,5.368081340804358
01/03/2026,,1,1,-96.65393398,5.368081340804358
01/04/2026,,1,1,-96.65393398,5.368081340804358
01/05/2026,,1,1,-96.65393398,5.368081340804358
01/06/2026,,1,1,-96.65393398,5.368081340804358
01/07/2026,,1,1,-96.65393398,5.368081340804358
01/08/2026,,1,1,-96.65393398,5.368081340804358
01/09/2026,,1,1,-96.65393398,5.368081340804358
01/10/2026,,1,1,-96.65393398,5.368081340804358
01/11/2026,,1,1,-96.65393398,5.368081340804358
01/12/2026,,1,1,-96.65393398,5.368081340804358
01/01/2027,,1,1,-96.65393398,5.368081340804358
01/02/2027,,1,1,-96.65393398,5.368081340804358
01/03/2027,,1,1,-96.65393398,5.368081340804358
